variantId,status,eligible,ineligibleReason,description,profilePatch,realizedPnl,winRate,profitFactor,closedTrades,maxDrawdownAbs,openPositions,riskAdjustedScore,earlyInvalidations,earlyRecoveredEntry,earlyReached25Gain,earlyReached50Gain,earlyFinalAboveExit,earlyFinalAboveEntry,earlySparseOutcomeBars,symbolsEvaluated,signalsEvaluated,entriesOpened,exitsClosed,exitReasons,skippedReasons,durationMs,error
combo-hard30-trail35-overnight10-early6,succeeded,true,,"Hard stop -30%, trail 35/15/20 with 5x/10x tightening, overnight +10%, early loss after 6 bars.","{""riskCaps"":{""maxOpenSymbols"":10,""maxPremiumPerEntry"":1500},""exitPolicy"":{""hardStopPct"":-30,""trailActivationPct"":35,""minLockedGainPct"":15,""trailGivebackPct"":20,""tightenAtFiveXGivebackPct"":30,""tightenAtTenXGivebackPct"":15,""overnightExitEnabled"":true,""overnightMinGainPct"":10,""overnightRunnerGivebackPct"":15,""earlyExitBars"":6,""earlyExitLossPct"":20}}",22320,0.6521739130434783,3.2687538117503556,161,150,5,44.64,19,12,9,8,5,4,0,90,1256,166,161,"{""early_invalidation"":19,""opposite_signal"":58,""runner_trail_stop"":52,""expiration"":2,""overnight_risk_exit"":17,""hard_stop"":13}","{""historical_option_bars_unavailable"":274,""mtf_not_aligned"":555,""same_direction_position_open"":8,""inverse_put_blocked"":9,""max_open_symbols_reached"":244}",1270388,
early-grid-b8-loss25,succeeded,true,,"Winning combo, early invalidation after 8 bars at -25%.","{""riskCaps"":{""maxOpenSymbols"":10,""maxPremiumPerEntry"":1500},""exitPolicy"":{""hardStopPct"":-30,""trailActivationPct"":35,""minLockedGainPct"":15,""trailGivebackPct"":20,""tightenAtFiveXGivebackPct"":30,""tightenAtTenXGivebackPct"":15,""overnightExitEnabled"":true,""overnightMinGainPct"":10,""overnightRunnerGivebackPct"":15,""earlyExitBars"":8,""earlyExitLossPct"":25}}",20082,0.65,2.942166344294004,160,150,4,40.164,12,8,6,6,2,1,0,90,1256,164,160,"{""early_invalidation"":12,""opposite_signal"":62,""runner_trail_stop"":52,""expiration"":2,""overnight_risk_exit"":17,""hard_stop"":15}","{""historical_option_bars_unavailable"":277,""mtf_not_aligned"":555,""same_direction_position_open"":8,""inverse_put_blocked"":9,""max_open_symbols_reached"":243}",27683,
trail-ladder-balanced,succeeded,true,,Winning combo with progressive trail: lower activation and steadily rising locks.,"{""riskCaps"":{""maxOpenSymbols"":10,""maxPremiumPerEntry"":1500},""exitPolicy"":{""hardStopPct"":-30,""trailActivationPct"":35,""minLockedGainPct"":15,""trailGivebackPct"":20,""tightenAtFiveXGivebackPct"":30,""tightenAtTenXGivebackPct"":15,""overnightExitEnabled"":true,""overnightMinGainPct"":10,""overnightRunnerGivebackPct"":15,""earlyExitBars"":6,""earlyExitLossPct"":20,""progressiveTrailEnabled"":true,""progressiveTrailSteps"":[{""activationPct"":25,""minLockedGainPct"":0,""givebackPct"":35},{""activationPct"":35,""minLockedGainPct"":15,""givebackPct"":25},{""activationPct"":50,""minLockedGainPct"":25,""givebackPct"":25},{""activationPct"":75,""minLockedGainPct"":35,""givebackPct"":20},{""activationPct"":100,""minLockedGainPct"":50,""givebackPct"":20}]}}",20114,0.5857988165680473,3.258223868867183,169,348,6,40.228,11,5,4,4,1,1,0,90,1256,175,169,"{""runner_trail_stop"":80,""opposite_signal"":53,""expiration"":1,""overnight_risk_exit"":15,""early_invalidation"":11,""hard_stop"":9}","{""historical_option_bars_unavailable"":285,""mtf_not_aligned"":555,""same_direction_position_open"":6,""inverse_put_blocked"":9,""max_open_symbols_reached"":226}",44080,
trail-ladder-balanced-early8-loss25,succeeded,true,,Balanced progressive trail with looser early invalidation after 8 bars at -25%.,"{""riskCaps"":{""maxOpenSymbols"":10,""maxPremiumPerEntry"":1500},""exitPolicy"":{""hardStopPct"":-30,""trailActivationPct"":35,""minLockedGainPct"":15,""trailGivebackPct"":20,""tightenAtFiveXGivebackPct"":30,""tightenAtTenXGivebackPct"":15,""overnightExitEnabled"":true,""overnightMinGainPct"":10,""overnightRunnerGivebackPct"":15,""earlyExitBars"":8,""earlyExitLossPct"":25,""progressiveTrailEnabled"":true,""progressiveTrailSteps"":[{""activationPct"":25,""minLockedGainPct"":0,""givebackPct"":35},{""activationPct"":35,""minLockedGainPct"":15,""givebackPct"":25},{""activationPct"":50,""minLockedGainPct"":25,""givebackPct"":25},{""activationPct"":75,""minLockedGainPct"":35,""givebackPct"":20},{""activationPct"":100,""minLockedGainPct"":50,""givebackPct"":20}]}}",19550,0.5818181818181818,3.1894949042445964,165,348,5,39.1,7,4,3,3,0,0,0,90,1256,170,165,"{""runner_trail_stop"":78,""opposite_signal"":55,""expiration"":1,""overnight_risk_exit"":15,""hard_stop"":9,""early_invalidation"":7}","{""historical_option_bars_unavailable"":289,""mtf_not_aligned"":555,""same_direction_position_open"":6,""inverse_put_blocked"":9,""max_open_symbols_reached"":227}",285,
trail-ladder-aggressive,succeeded,true,,Winning combo with progressive trail: early activation and faster profit locks.,"{""riskCaps"":{""maxOpenSymbols"":10,""maxPremiumPerEntry"":1500},""exitPolicy"":{""hardStopPct"":-30,""trailActivationPct"":35,""minLockedGainPct"":15,""trailGivebackPct"":20,""tightenAtFiveXGivebackPct"":30,""tightenAtTenXGivebackPct"":15,""overnightExitEnabled"":true,""overnightMinGainPct"":10,""overnightRunnerGivebackPct"":15,""earlyExitBars"":6,""earlyExitLossPct"":20,""progressiveTrailEnabled"":true,""progressiveTrailSteps"":[{""activationPct"":20,""minLockedGainPct"":0,""givebackPct"":30},{""activationPct"":30,""minLockedGainPct"":15,""givebackPct"":25},{""activationPct"":45,""minLockedGainPct"":25,""givebackPct"":20},{""activationPct"":65,""minLockedGainPct"":40,""givebackPct"":20},{""activationPct"":100,""minLockedGainPct"":60,""givebackPct"":15}]}}",28405,0.659217877094972,5.122641509433962,179,140,6,56.81,10,3,3,2,2,2,0,90,1256,185,179,"{""runner_trail_stop"":98,""opposite_signal"":44,""expiration"":1,""overnight_risk_exit"":16,""early_invalidation"":10,""hard_stop"":10}","{""historical_option_bars_unavailable"":304,""mtf_not_aligned"":555,""same_direction_position_open"":8,""inverse_put_blocked"":9,""max_open_symbols_reached"":195}",46057,
trail-ladder-aggressive-early8-loss25,succeeded,true,,Aggressive progressive trail with looser early invalidation after 8 bars at -25%.,"{""riskCaps"":{""maxOpenSymbols"":10,""maxPremiumPerEntry"":1500},""exitPolicy"":{""hardStopPct"":-30,""trailActivationPct"":35,""minLockedGainPct"":15,""trailGivebackPct"":20,""tightenAtFiveXGivebackPct"":30,""tightenAtTenXGivebackPct"":15,""overnightExitEnabled"":true,""overnightMinGainPct"":10,""overnightRunnerGivebackPct"":15,""earlyExitBars"":8,""earlyExitLossPct"":25,""progressiveTrailEnabled"":true,""progressiveTrailSteps"":[{""activationPct"":20,""minLockedGainPct"":0,""givebackPct"":30},{""activationPct"":30,""minLockedGainPct"":15,""givebackPct"":25},{""activationPct"":45,""minLockedGainPct"":25,""givebackPct"":20},{""activationPct"":65,""minLockedGainPct"":40,""givebackPct"":20},{""activationPct"":100,""minLockedGainPct"":60,""givebackPct"":15}]}}",28941,0.664804469273743,5.142713999427427,179,218,5,57.882,5,1,1,1,0,0,0,90,1256,184,179,"{""runner_trail_stop"":99,""opposite_signal"":47,""expiration"":1,""overnight_risk_exit"":16,""hard_stop"":11,""early_invalidation"":5}","{""historical_option_bars_unavailable"":301,""mtf_not_aligned"":555,""same_direction_position_open"":8,""inverse_put_blocked"":9,""max_open_symbols_reached"":199}",1830,
