status,reason,symbol,optionTicker,side,fillPrice,occurredAt,provenanceSource,providerResultCount,recordedTradeAt,recordedTradePrice,recordedMarkPrice,firstProviderTradeAt,firstProviderTradePrice,recordedPriceExistsInTradeWindow,recordedTimestampWithin1ms,exactAggregateAt,exactAggregateClose,nearbyAggregateAt,nearbyAggregateClose,fillId,orderId,error
matched,"first provider trade, recorded price, and recorded timestamp match",AMZN,O:AMZN260406C00210000,sell,4.1,2026-04-01T17:56:00.000Z,polygon-option-trade,2,2026-04-01T17:56:35.269Z,4.1,4.1,2026-04-01T17:56:35.269Z,4.1,true,true,,,,,4331adbb-a6a1-4e8f-8a42-759db58a7eb2,11d57cc3-373d-4daf-8f77-5a53128411d9,
matched,"first provider trade, recorded price, and recorded timestamp match",TSLA,O:TSLA260406C00375000,sell,9.3,2026-04-01T18:02:00.000Z,polygon-option-trade,3,2026-04-01T18:02:27.129Z,9.3,9.11,2026-04-01T18:02:27.129Z,9.3,true,true,,,,,141ae8eb-3496-49fd-b4b1-51133b49ff6f,b12a9916-1a4b-4ae5-af0d-05ded410445e,
matched,"first provider trade, recorded price, and recorded timestamp match",AAPL,O:AAPL260406C00255000,buy,2.7,2026-04-01T19:20:00.000Z,polygon-option-trade,1,2026-04-01T19:20:29.075Z,2.7,2.7,2026-04-01T19:20:29.075Z,2.7,true,true,,,,,57b6f06e-0ebe-41e0-9b14-d54ea3610467,1b29dd39-953d-4e2f-b198-45a015ba22ef,
matched,exact 1-minute aggregate close matches fill price,AVGO,O:AVGO260406C00315000,buy,4.63,2026-04-01T19:21:00.000Z,polygon-option-aggregates,1,,,4.63,,,,,2026-04-01T19:21:00.000Z,4.63,2026-04-01T19:21:00.000Z,4.63,b822f180-3ceb-4e9a-ba01-7506d79f63a4,9ea5c033-d92f-44fa-8ff9-c0f989640cf4,
matched,exact 1-minute aggregate close matches fill price,DELL,O:DELL260402C00165000,buy,4.49,2026-04-01T19:41:00.000Z,polygon-option-aggregates,1,,,4.49,,,,,2026-04-01T19:41:00.000Z,4.49,2026-04-01T19:41:00.000Z,4.49,353f0bb8-73b6-4c93-984b-28b4738a4303,b30ce47b-8417-4d82-a88b-3d29ef896402,
matched,"first provider trade, recorded price, and recorded timestamp match",AAPL,O:AAPL260406C00255000,sell,2.75,2026-04-01T19:55:00.000Z,polygon-option-trade,23,2026-04-01T19:55:00.199Z,2.75,2.7,2026-04-01T19:55:00.199Z,2.75,true,true,,,,,55e885d4-b36f-41a6-95ce-caef6a0942e8,24dbcb52-d105-43a8-af8f-aea8932c76b8,
matched,exact 1-minute aggregate close matches fill price,CORZ,O:CORZ260402C00014000,buy,1.35,2026-04-01T19:56:00.000Z,polygon-option-aggregates,2,,,1.35,,,,,2026-04-01T19:56:00.000Z,1.35,2026-04-01T19:56:00.000Z,1.35,00fd533e-520c-4899-bf5e-16ff0ffdbbb1,91f24522-ac30-4937-af90-690ceab73860,
matched,"first provider trade, recorded price, and recorded timestamp match",AVGO,O:AVGO260406C00315000,sell,4.56,2026-04-01T19:56:00.000Z,polygon-option-trade,1,2026-04-01T19:56:25.180Z,4.56,4.56,2026-04-01T19:56:25.180Z,4.56,true,true,,,,,61db4d87-9b63-4e6d-8d8a-a4044095b87d,9f2e8464-7dd6-4756-8dac-c3fa8d682940,
matched,"first provider trade, recorded price, and recorded timestamp match",CORZ,O:CORZ260402C00014000,sell,1.37,2026-04-01T19:57:00.000Z,polygon-option-trade,1,2026-04-01T19:57:54.217Z,1.37,1.37,2026-04-01T19:57:54.217Z,1.37,true,true,,,,,dd5c35d0-14dc-4b39-b919-d0cf4cfd7362,c8164e34-3ad4-416d-85e5-1e8f9f8fe5d2,
matched,"first provider trade, recorded price, and recorded timestamp match",DELL,O:DELL260402C00165000,sell,5.2,2026-04-01T19:59:00.000Z,polygon-option-trade,1,2026-04-01T19:59:04.907Z,5.2,5.2,2026-04-01T19:59:04.907Z,5.2,true,true,,,,,dd45d3db-deba-4751-91a0-2dcca1e539a9,b9674fef-ccf7-4374-924a-4545c79003ac,
