variantId,status,eligible,ineligibleReason,description,profilePatch,realizedPnl,winRate,profitFactor,closedTrades,maxDrawdownAbs,openPositions,riskAdjustedScore,earlyInvalidations,earlyRecoveredEntry,earlyReached25Gain,earlyReached50Gain,earlyFinalAboveExit,earlyFinalAboveEntry,earlySparseOutcomeBars,symbolsEvaluated,signalsEvaluated,entriesOpened,exitsClosed,exitReasons,skippedReasons,durationMs,error
trail-ladder-balanced-early8-loss25,succeeded,true,,Balanced progressive trail with looser early invalidation after 8 bars at -25%.,"{""riskCaps"":{""maxOpenSymbols"":10,""maxPremiumPerEntry"":1500},""exitPolicy"":{""hardStopPct"":-30,""trailActivationPct"":35,""minLockedGainPct"":15,""trailGivebackPct"":20,""tightenAtFiveXGivebackPct"":30,""tightenAtTenXGivebackPct"":15,""overnightExitEnabled"":true,""overnightMinGainPct"":10,""overnightRunnerGivebackPct"":15,""earlyExitBars"":8,""earlyExitLossPct"":25,""progressiveTrailEnabled"":true,""progressiveTrailSteps"":[{""activationPct"":25,""minLockedGainPct"":0,""givebackPct"":35},{""activationPct"":35,""minLockedGainPct"":15,""givebackPct"":25},{""activationPct"":50,""minLockedGainPct"":25,""givebackPct"":25},{""activationPct"":75,""minLockedGainPct"":35,""givebackPct"":20},{""activationPct"":100,""minLockedGainPct"":50,""givebackPct"":20}]}}",1874,0.6428571428571429,2.0997652582159625,28,304,1,3.748,1,1,1,1,0,0,0,9,97,29,28,"{""runner_trail_stop"":12,""opposite_signal"":10,""early_invalidation"":1,""overnight_risk_exit"":5}","{""historical_option_bars_unavailable"":27,""mtf_not_aligned"":41}",122054,
trail-ladder-aggressive-early8-loss25,succeeded,true,,Aggressive progressive trail with looser early invalidation after 8 bars at -25%.,"{""riskCaps"":{""maxOpenSymbols"":10,""maxPremiumPerEntry"":1500},""exitPolicy"":{""hardStopPct"":-30,""trailActivationPct"":35,""minLockedGainPct"":15,""trailGivebackPct"":20,""tightenAtFiveXGivebackPct"":30,""tightenAtTenXGivebackPct"":15,""overnightExitEnabled"":true,""overnightMinGainPct"":10,""overnightRunnerGivebackPct"":15,""earlyExitBars"":8,""earlyExitLossPct"":25,""progressiveTrailEnabled"":true,""progressiveTrailSteps"":[{""activationPct"":20,""minLockedGainPct"":0,""givebackPct"":30},{""activationPct"":30,""minLockedGainPct"":15,""givebackPct"":25},{""activationPct"":45,""minLockedGainPct"":25,""givebackPct"":20},{""activationPct"":65,""minLockedGainPct"":40,""givebackPct"":20},{""activationPct"":100,""minLockedGainPct"":60,""givebackPct"":15}]}}",3270,0.6785714285714286,3.3903508771929824,28,780,1,4.192308,0,0,0,0,0,0,0,9,97,29,28,"{""runner_trail_stop"":15,""opposite_signal"":8,""overnight_risk_exit"":5}","{""historical_option_bars_unavailable"":27,""mtf_not_aligned"":41}",158721,
