variantId,status,eligible,ineligibleReason,description,profilePatch,realizedPnl,winRate,profitFactor,closedTrades,maxDrawdownAbs,openPositions,riskAdjustedScore,earlyInvalidations,earlyRecoveredEntry,earlyReached25Gain,earlyReached50Gain,earlyFinalAboveExit,earlyFinalAboveEntry,earlySparseOutcomeBars,symbolsEvaluated,signalsEvaluated,entriesOpened,exitsClosed,exitReasons,skippedReasons,durationMs,error
combo-hard30-trail35-overnight10-early6,succeeded,false,closed trades below 20,"Hard stop -30%, trail 35/15/20 with 5x/10x tightening, overnight +10%, early loss after 6 bars.","{""riskCaps"":{""maxOpenSymbols"":10,""maxPremiumPerEntry"":1500},""exitPolicy"":{""hardStopPct"":-30,""trailActivationPct"":35,""minLockedGainPct"":15,""trailGivebackPct"":20,""tightenAtFiveXGivebackPct"":30,""tightenAtTenXGivebackPct"":15,""overnightExitEnabled"":true,""overnightMinGainPct"":10,""overnightRunnerGivebackPct"":15,""earlyExitBars"":6,""earlyExitLossPct"":20}}",248,1,Infinity,1,0,1,0.496,0,0,0,0,0,0,0,9,14,2,1,"{""runner_trail_stop"":1}","{""mtf_not_aligned"":9,""historical_option_bars_unavailable"":3}",24109,
trail-ladder-soft,succeeded,false,closed trades below 20,"Winning combo with progressive trail: flat at +25%, then slower profit locks.","{""riskCaps"":{""maxOpenSymbols"":10,""maxPremiumPerEntry"":1500},""exitPolicy"":{""hardStopPct"":-30,""trailActivationPct"":35,""minLockedGainPct"":15,""trailGivebackPct"":20,""tightenAtFiveXGivebackPct"":30,""tightenAtTenXGivebackPct"":15,""overnightExitEnabled"":true,""overnightMinGainPct"":10,""overnightRunnerGivebackPct"":15,""earlyExitBars"":6,""earlyExitLossPct"":20,""progressiveTrailEnabled"":true,""progressiveTrailSteps"":[{""activationPct"":25,""minLockedGainPct"":0,""givebackPct"":40},{""activationPct"":35,""minLockedGainPct"":10,""givebackPct"":30},{""activationPct"":50,""minLockedGainPct"":20,""givebackPct"":30},{""activationPct"":75,""minLockedGainPct"":30,""givebackPct"":25},{""activationPct"":100,""minLockedGainPct"":45,""givebackPct"":25}]}}",160,1,Infinity,1,0,1,0.32,0,0,0,0,0,0,0,9,14,2,1,"{""runner_trail_stop"":1}","{""mtf_not_aligned"":9,""historical_option_bars_unavailable"":3}",10956,
trail-ladder-balanced,succeeded,false,closed trades below 20,Winning combo with progressive trail: lower activation and steadily rising locks.,"{""riskCaps"":{""maxOpenSymbols"":10,""maxPremiumPerEntry"":1500},""exitPolicy"":{""hardStopPct"":-30,""trailActivationPct"":35,""minLockedGainPct"":15,""trailGivebackPct"":20,""tightenAtFiveXGivebackPct"":30,""tightenAtTenXGivebackPct"":15,""overnightExitEnabled"":true,""overnightMinGainPct"":10,""overnightRunnerGivebackPct"":15,""earlyExitBars"":6,""earlyExitLossPct"":20,""progressiveTrailEnabled"":true,""progressiveTrailSteps"":[{""activationPct"":25,""minLockedGainPct"":0,""givebackPct"":35},{""activationPct"":35,""minLockedGainPct"":15,""givebackPct"":25},{""activationPct"":50,""minLockedGainPct"":25,""givebackPct"":25},{""activationPct"":75,""minLockedGainPct"":35,""givebackPct"":20},{""activationPct"":100,""minLockedGainPct"":50,""givebackPct"":20}]}}",204,1,Infinity,1,0,1,0.408,0,0,0,0,0,0,0,9,14,2,1,"{""runner_trail_stop"":1}","{""mtf_not_aligned"":9,""historical_option_bars_unavailable"":3}",10179,
trail-ladder-aggressive,succeeded,false,closed trades below 20,Winning combo with progressive trail: early activation and faster profit locks.,"{""riskCaps"":{""maxOpenSymbols"":10,""maxPremiumPerEntry"":1500},""exitPolicy"":{""hardStopPct"":-30,""trailActivationPct"":35,""minLockedGainPct"":15,""trailGivebackPct"":20,""tightenAtFiveXGivebackPct"":30,""tightenAtTenXGivebackPct"":15,""overnightExitEnabled"":true,""overnightMinGainPct"":10,""overnightRunnerGivebackPct"":15,""earlyExitBars"":6,""earlyExitLossPct"":20,""progressiveTrailEnabled"":true,""progressiveTrailSteps"":[{""activationPct"":20,""minLockedGainPct"":0,""givebackPct"":30},{""activationPct"":30,""minLockedGainPct"":15,""givebackPct"":25},{""activationPct"":45,""minLockedGainPct"":25,""givebackPct"":20},{""activationPct"":65,""minLockedGainPct"":40,""givebackPct"":20},{""activationPct"":100,""minLockedGainPct"":60,""givebackPct"":15}]}}",320,1,Infinity,1,0,1,0.64,0,0,0,0,0,0,0,9,14,2,1,"{""hard_stop"":1}","{""mtf_not_aligned"":9,""historical_option_bars_unavailable"":3}",10878,
trail-ladder-runner-friendly,succeeded,false,closed trades below 20,Winning combo with progressive trail: earlier flat protection while leaving sub-5x runners wider.,"{""riskCaps"":{""maxOpenSymbols"":10,""maxPremiumPerEntry"":1500},""exitPolicy"":{""hardStopPct"":-30,""trailActivationPct"":35,""minLockedGainPct"":15,""trailGivebackPct"":20,""tightenAtFiveXGivebackPct"":30,""tightenAtTenXGivebackPct"":15,""overnightExitEnabled"":true,""overnightMinGainPct"":10,""overnightRunnerGivebackPct"":15,""earlyExitBars"":6,""earlyExitLossPct"":20,""progressiveTrailEnabled"":true,""progressiveTrailSteps"":[{""activationPct"":25,""minLockedGainPct"":0,""givebackPct"":45},{""activationPct"":40,""minLockedGainPct"":10,""givebackPct"":35},{""activationPct"":75,""minLockedGainPct"":25,""givebackPct"":30},{""activationPct"":150,""minLockedGainPct"":60,""givebackPct"":25}]}}",285,1,Infinity,2,0,2,0.57,0,0,0,0,0,0,0,9,17,4,2,"{""opposite_signal"":1,""runner_trail_stop"":1}","{""mtf_not_aligned"":10,""historical_option_bars_unavailable"":3}",24802,
