variantId,status,eligible,ineligibleReason,description,profilePatch,realizedPnl,winRate,profitFactor,closedTrades,maxDrawdownAbs,openPositions,riskAdjustedScore,earlyInvalidations,earlyRecoveredEntry,earlyReached25Gain,earlyReached50Gain,earlyFinalAboveExit,earlyFinalAboveEntry,earlySparseOutcomeBars,wireTrailSnapshots,wireTrailEnabled,wireTrailActive,wireStructureBreaks,wireStructureBreakExits,wireRegimeFlipAgainstPosition,wireGreekFresh,wireGreekUnavailable,wireDeltaSizedGiveback,wireBaselineRungs,wireSelectedRungs,wireGreekFallbackReasons,wireGreekAdjustmentReasons,symbolsEvaluated,signalsEvaluated,entriesOpened,exitsClosed,exitReasons,skippedReasons,durationMs,error
creative-quality-conditional-v1,failed,false,run failed,"Best h8 policy plus conditional exits: cut low-quality earlier, let high-quality runners breathe.","{""riskCaps"":{""maxOpenSymbols"":10,""maxPremiumPerEntry"":2000},""exitPolicy"":{""hardStopPct"":-30,""trailActivationPct"":35,""minLockedGainPct"":15,""trailGivebackPct"":20,""tightenAtFiveXGivebackPct"":30,""tightenAtTenXGivebackPct"":15,""overnightExitEnabled"":true,""overnightMinGainPct"":10,""overnightRunnerGivebackPct"":15,""earlyExitBars"":6,""earlyExitLossPct"":20,""conditionalQualityExitsEnabled"":true,""lowQualityEarlyExitBars"":4,""lowQualityEarlyExitLossPct"":15,""highQualityEarlyExitBars"":8,""highQualityEarlyExitLossPct"":25,""weakLiquidityTrailGivebackPct"":15,""strongLiquidityTrailGivebackPct"":25,""highQualityOvernightMinGainPct"":-100}}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,{},{},{},{},,,,,{},{},1,Signal Options backfill requires explicit Signal Monitor bar-evaluation opt-in.
trail-ladder-aggressive,failed,false,run failed,Winning combo with progressive trail: early activation and faster profit locks.,"{""riskCaps"":{""maxOpenSymbols"":10,""maxPremiumPerEntry"":2000},""exitPolicy"":{""hardStopPct"":-30,""trailActivationPct"":35,""minLockedGainPct"":15,""trailGivebackPct"":20,""tightenAtFiveXGivebackPct"":30,""tightenAtTenXGivebackPct"":15,""overnightExitEnabled"":true,""overnightMinGainPct"":10,""overnightRunnerGivebackPct"":15,""earlyExitBars"":6,""earlyExitLossPct"":20,""progressiveTrailEnabled"":true,""progressiveTrailSteps"":[{""activationPct"":20,""minLockedGainPct"":0,""givebackPct"":30},{""activationPct"":30,""minLockedGainPct"":15,""givebackPct"":25},{""activationPct"":45,""minLockedGainPct"":25,""givebackPct"":20},{""activationPct"":65,""minLockedGainPct"":40,""givebackPct"":20},{""activationPct"":100,""minLockedGainPct"":60,""givebackPct"":15}]}}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,{},{},{},{},,,,,{},{},0,Signal Options backfill requires explicit Signal Monitor bar-evaluation opt-in.
control-fixed-floor-early8-loss25,failed,false,run failed,"Winning combo with fixed premium trail, looser early invalidation, and wire trail explicitly disabled.","{""riskCaps"":{""maxOpenSymbols"":10,""maxPremiumPerEntry"":2000},""exitPolicy"":{""hardStopPct"":-30,""trailActivationPct"":35,""minLockedGainPct"":15,""trailGivebackPct"":20,""tightenAtFiveXGivebackPct"":30,""tightenAtTenXGivebackPct"":15,""overnightExitEnabled"":true,""overnightMinGainPct"":10,""overnightRunnerGivebackPct"":15,""earlyExitBars"":8,""earlyExitLossPct"":25,""progressiveTrailEnabled"":false,""progressiveTrailSteps"":[],""wireGreekTrail"":{""enabled"":false,""requireFreshGreeks"":true,""greekMaxAgeMs"":15000,""deltaSizingEnabled"":false,""runnerPollIntervalSeconds"":20,""rungByProfit"":[{""activationPct"":35,""rung"":""wire3""},{""activationPct"":65,""rung"":""wire2""},{""activationPct"":100,""rung"":""wire1""},{""activationPct"":200,""rung"":""trendLine""}],""deltaLoosenThreshold"":0.05,""deltaTightenThreshold"":-0.1,""thetaBurdenTightenPct"":8,""strongGammaMin"":0.05,""spreadWideningMultiplier"":1.5}}}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,{},{},{},{},,,,,{},{},0,Signal Options backfill requires explicit Signal Monitor bar-evaluation opt-in.
control-aggressive-ladder-early8-loss25,failed,false,run failed,Recovered top aggressive ladder with looser early invalidation and wire trail explicitly disabled.,"{""riskCaps"":{""maxOpenSymbols"":10,""maxPremiumPerEntry"":2000},""exitPolicy"":{""hardStopPct"":-30,""trailActivationPct"":35,""minLockedGainPct"":15,""trailGivebackPct"":20,""tightenAtFiveXGivebackPct"":30,""tightenAtTenXGivebackPct"":15,""overnightExitEnabled"":true,""overnightMinGainPct"":10,""overnightRunnerGivebackPct"":15,""earlyExitBars"":8,""earlyExitLossPct"":25,""progressiveTrailEnabled"":true,""progressiveTrailSteps"":[{""activationPct"":20,""minLockedGainPct"":0,""givebackPct"":30},{""activationPct"":30,""minLockedGainPct"":15,""givebackPct"":25},{""activationPct"":45,""minLockedGainPct"":25,""givebackPct"":20},{""activationPct"":65,""minLockedGainPct"":40,""givebackPct"":20},{""activationPct"":100,""minLockedGainPct"":60,""givebackPct"":15}],""wireGreekTrail"":{""enabled"":false,""requireFreshGreeks"":true,""greekMaxAgeMs"":15000,""deltaSizingEnabled"":false,""runnerPollIntervalSeconds"":20,""rungByProfit"":[{""activationPct"":35,""rung"":""wire3""},{""activationPct"":65,""rung"":""wire2""},{""activationPct"":100,""rung"":""wire1""},{""activationPct"":200,""rung"":""trendLine""}],""deltaLoosenThreshold"":0.05,""deltaTightenThreshold"":-0.1,""thetaBurdenTightenPct"":8,""strongGammaMin"":0.05,""spreadWideningMultiplier"":1.5}}}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,{},{},{},{},,,,,{},{},0,Signal Options backfill requires explicit Signal Monitor bar-evaluation opt-in.
