variantId,stage,status,eligible,ineligibleReason,patch,realizedPnl,winRate,profitFactor,closedTrades,maxDrawdownAbs,openPositions,riskAdjustedScore,symbolsEvaluated,signalsEvaluated,entriesOpened,exitsClosed,error
stage-b-h4-bos-wicks-atr-0-body-0-vol-1,B,succeeded,true,,"{""timeHorizon"":4,""bosConfirmation"":""wicks"",""chochAtrBuffer"":0,""chochBodyExpansionAtr"":0,""chochVolumeGate"":1}",6978,0.4108527131782946,2.988034188034188,129,580,2,12.031034,90,2155,131,129,
stage-b-h4-bos-wicks-atr-0-body-0p5-vol-0,B,succeeded,true,,"{""timeHorizon"":4,""bosConfirmation"":""wicks"",""chochAtrBuffer"":0,""chochBodyExpansionAtr"":0.5,""chochVolumeGate"":0}",3117,0.41935483870967744,1.9842121881907169,124,839,2,3.715137,90,2214,126,124,
stage-b-h4-bos-wicks-atr-0-body-0p5-vol-1,B,succeeded,true,,"{""timeHorizon"":4,""bosConfirmation"":""wicks"",""chochAtrBuffer"":0,""chochBodyExpansionAtr"":0.5,""chochVolumeGate"":1}",6594,0.44761904761904764,2.9331574318381706,105,1119,2,5.892761,90,1792,107,105,
stage-b-h4-bos-wicks-atr-0p25-body-0-vol-0,B,succeeded,true,,"{""timeHorizon"":4,""bosConfirmation"":""wicks"",""chochAtrBuffer"":0.25,""chochBodyExpansionAtr"":0,""chochVolumeGate"":0}",8919,0.4881889763779528,4.235038084874864,127,760,2,11.735526,90,2183,129,127,
stage-b-h4-bos-wicks-atr-0p25-body-0-vol-1,B,succeeded,true,,"{""timeHorizon"":4,""bosConfirmation"":""wicks"",""chochAtrBuffer"":0.25,""chochBodyExpansionAtr"":0,""chochVolumeGate"":1}",8429,0.47706422018348627,3.495263469508585,109,761,1,11.076216,90,1881,110,109,
stage-b-h4-bos-wicks-atr-0p25-body-0p5-vol-0,B,succeeded,true,,"{""timeHorizon"":4,""bosConfirmation"":""wicks"",""chochAtrBuffer"":0.25,""chochBodyExpansionAtr"":0.5,""chochVolumeGate"":0}",3086,0.45614035087719296,1.8275677125234648,114,1066,2,2.894934,90,1899,116,114,
stage-b-h4-bos-wicks-atr-0p25-body-0p5-vol-1,B,succeeded,true,,"{""timeHorizon"":4,""bosConfirmation"":""wicks"",""chochAtrBuffer"":0.25,""chochBodyExpansionAtr"":0.5,""chochVolumeGate"":1}",4680,0.45454545454545453,2.3402061855670104,99,1188,1,3.939394,90,1576,100,99,
stage-b-h4-bos-wicks-atr-0p5-body-0-vol-0,B,succeeded,true,,"{""timeHorizon"":4,""bosConfirmation"":""wicks"",""chochAtrBuffer"":0.5,""chochBodyExpansionAtr"":0,""chochVolumeGate"":0}",5557,0.47959183673469385,2.6484722634233164,98,1344,3,4.134673,90,1898,101,98,
stage-b-h4-bos-wicks-atr-0p5-body-0-vol-1,B,succeeded,true,,"{""timeHorizon"":4,""bosConfirmation"":""wicks"",""chochAtrBuffer"":0.5,""chochBodyExpansionAtr"":0,""chochVolumeGate"":1}",5086,0.4752475247524752,2.450242372398061,101,1269,2,4.00788,90,1637,103,101,
stage-b-h4-bos-wicks-atr-0p5-body-0p5-vol-0,B,succeeded,true,,"{""timeHorizon"":4,""bosConfirmation"":""wicks"",""chochAtrBuffer"":0.5,""chochBodyExpansionAtr"":0.5,""chochVolumeGate"":0}",4885,0.45918367346938777,2.5562280981204206,98,1392,3,3.509339,90,1636,101,98,
stage-b-h4-bos-wicks-atr-0p5-body-0p5-vol-1,B,succeeded,true,,"{""timeHorizon"":4,""bosConfirmation"":""wicks"",""chochAtrBuffer"":0.5,""chochBodyExpansionAtr"":0.5,""chochVolumeGate"":1}",4420,0.4470588235294118,2.2571103526734926,85,1136,2,3.890845,90,1412,87,85,
