symbol,reason,closedAt,pnl,quantity,entryPrice,exitPrice,peakPrice,postHigh,highVsExitPct,missedToHigh,holdMinutes,score,mtfMatches,adx,premiumAtRisk,finalAboveExit,recoveredEntry
AVAV,opposite_signal,2026-05-27T15:59:00.549Z,-514.69,4,4.73,3.45,4.73,36.9,969.6,13380,27,60,3,43.59,1892,true,true
DELL,overnight_risk_exit,2026-05-27T19:52:43.585Z,-303.67,1,18.89,15.86,18.89,123.32,677.6,10746,60.9,69.2,3,7.08,1889,true,true
KTOS,early_invalidation,2026-05-27T18:09:47.289Z,-461.38,8,2.47,1.9,2.47,10.5,452.6,6880,97.8,80,3,16.17,1976,true,true
MSFT,overnight_risk_exit,2026-05-26T19:45:20.358Z,-39.35,2,6.69,6.5,6.69,32.46,399.4,5192,6.9,82.5,2,20.78,1338,true,true
SMCI,runner_trail_stop,2026-05-26T19:11:37.722Z,136.64,5,1.92,2.2,2.9,12.53,469.5,5165,248,92.8,3,24.19,960,true,true
GD,overnight_risk_exit,2026-07-01T19:59:34.601Z,-4.04,6,2.23,2.23,2.23,10.05,350.7,4692,2,47.6,0,18.89,1338,true,true
SQQQ,opposite_signal,2026-05-29T16:46:24.022Z,-106.73,10,1.48,1.38,1.55,5.43,293.5,4050,94.4,80,3,27.91,1480,true,true
RGTI,hard_stop,2026-06-04T18:29:48.254Z,-726.73,10,1.62,0.9,1.62,4.85,438.9,3950,115,83.3,1,26.76,1620,true,true
COIN,overnight_risk_exit,2026-05-27T19:47:12.877Z,-146.02,3,5.38,4.9,5.38,17.05,248,3645,23.7,68.8,2,20.29,1614,true,true
ABT,runner_trail_stop,2026-07-01T19:12:21.732Z,-676.73,10,0.75,0.08,1.1,3.6,4400,3520,36.9,52.9,0,35.66,750,true,true
PLTR,early_invalidation,2026-07-01T18:53:30.597Z,-1306.04,6,2.35,0.18,2.36,5.95,3205.6,3462,26.2,50.7,0,22.53,1410,true,true
LMT,overnight_risk_exit,2026-07-01T19:55:18.187Z,-1.35,2,5.15,5.15,5.15,21.38,315.1,3246,0.8,52.9,0,39.54,1030,true,true
TQQQ,overnight_risk_exit,2026-05-27T19:52:40.589Z,-16.73,10,1.89,1.88,1.96,4.67,148.4,2790,61.2,73.3,3,13.85,1890,true,true
ANET,opposite_signal,2026-05-22T14:03:35.356Z,596.64,5,2.5,3.7,3.7,9.27,150.5,2785,1143.6,79.1,2,22.37,1250,true,true
SPY,runner_trail_stop,2026-06-12T15:52:10.683Z,-79.35,2,5.8,5.41,8.27,18.66,244.9,2650,79.6,97.5,3,29.31,1160,true,true
MSFT,early_invalidation,2026-05-26T15:13:59.257Z,-201.67,1,7.98,5.97,7.98,32.46,443.7,2649,33,85,2,38.62,798,true,true
META,overnight_risk_exit,2026-07-01T19:55:22.659Z,-0.67,1,10.3,10.3,10.3,36.74,256.7,2644,0.5,52.9,0,28.65,1030,true,true
ALAB,overnight_risk_exit,2026-07-01T19:45:15.877Z,-0.67,1,15,15,15,41.15,174.3,2615,41.3,52.9,0,39.91,1500,true,true
GOOGL,overnight_risk_exit,2026-06-29T19:50:09.654Z,-1223.35,2,6.84,0.73,7.6,13.35,1728.8,2524,135.7,52.9,0,28.81,1368,true,true
USO,runner_trail_stop,2026-06-01T17:03:46.810Z,1241.31,4,4.68,7.79,12,14.09,80.9,2520,4217.8,46.6,2,16.58,1872,true,true
RGTI,early_invalidation,2026-05-27T17:58:12.007Z,-556.73,10,1.81,1.26,1.95,3.5,177.8,2240,70.4,75.6,3,17.62,1810,true,true
DIA,runner_trail_stop,2026-06-02T14:19:15.870Z,-206.69,4,4.52,4.01,6.23,9.55,138.2,2216,1227.7,90.7,3,17.81,1808,false,true
QBTS,early_invalidation,2026-05-27T19:00:08.553Z,-446.73,10,1.89,1.45,2.04,3.55,144.8,2100,132.1,77.6,3,20.97,1890,true,true
NVDA,runner_trail_stop,2026-07-07T16:07:45.096Z,191.94,9,1.6,1.82,2.08,4.1,125.3,2052,6.8,36.1,0,40.69,1440,true,true
META,opposite_signal,2026-07-02T19:08:46.013Z,-77.35,2,5.58,5.2,5.85,14.59,180.6,1878,49.8,60.4,0,20.44,1116,true,true
SPY,overnight_risk_exit,2026-05-27T19:46:13.829Z,-62.02,3,5.1,4.9,5.1,10.82,120.8,1776,30.6,73.2,3,13.68,1530,true,true
SPY,overnight_risk_exit,2026-05-26T19:47:24.990Z,-50.69,4,4.84,4.72,4.84,9.12,93.2,1760,0.2,89.1,3,17.96,1936,true,true
AMD,overnight_risk_exit,2026-06-02T19:53:31.689Z,55.33,1,16.07,16.63,16.85,33.5,101.4,1687,27.7,94.5,4,24.2,1607,false,true
QQQ,runner_trail_stop,2026-07-06T13:36:44.387Z,741.98,3,3.9,6.38,8.59,11.92,86.8,1662,5381.8,56.7,0,16.16,1170,true,true
DIA,overnight_risk_exit,2026-05-26T19:55:46.082Z,-94.69,4,4.39,4.16,4.39,8.16,96.2,1600,1.4,80,3,28.34,1756,true,true
