symbol,reason,closedAt,pnl,quantity,entryPrice,exitPrice,peakPrice,postHigh,highVsExitPct,missedToHigh,holdMinutes,score,mtfMatches,adx,premiumAtRisk,finalAboveExit,recoveredEntry
QCOM,runner_trail_stop,2026-05-07T14:22:00.000Z,317.31,4,3.45,4.25,5.5,36.5,758.8,12900,12,89,3,25.9,1380,true,true
ARM,runner_trail_stop,2026-04-20T16:58:00.000Z,288.65,2,6.05,7.5,9.5,70.27,836.9,12554,103,86.9,3,21.51,1210,true,true
HOOD,overnight_risk_exit,2026-04-10T19:59:00.000Z,26.64,5,2.38,2.44,2.56,23.7,871.3,10630,104,76.5,2,18.05,1190,true,true
AMZN,runner_trail_stop,2026-04-07T14:02:00.000Z,5.31,4,3.7,3.72,4.65,30.28,714,10624,27,89,3,25.8,1480,true,true
AMD,overnight_risk_exit,2026-05-04T19:59:00.000Z,-90.67,1,14.2,13.3,15.02,110.68,732.2,9738,19,88,3,23.39,1420,true,true
DELL,runner_trail_stop,2026-05-01T13:54:00.000Z,-111.35,2,6.15,5.6,7.6,51,810.7,9080,18,89,3,26.12,1230,true,true
MSTR,runner_trail_stop,2026-04-16T13:35:00.000Z,582.98,3,5,6.95,8.35,36.14,420,8757,1130,83,3,15.05,1500,true,true
AMD,overnight_risk_exit,2026-05-07T19:59:00.000Z,186.65,2,7.1,8.04,8.26,50.97,534,8586,28,81.1,3,11.9,1420,true,true
RKLB,opposite_signal,2026-05-07T18:20:00.000Z,-14.69,4,3.7,3.67,3.95,24.55,568.9,8352,20,80.7,2,45.67,1480,true,true
IONQ,early_invalidation,2026-04-13T13:34:00.000Z,-238.36,5,2.22,1.75,2.47,18.3,945.7,8275,4103,74.6,2,14.92,1110,true,true
MSTR,runner_trail_stop,2026-04-16T16:25:00.000Z,459.98,3,3.86,5.4,6.45,32.95,510.2,8265,55,87.5,3,22.45,1158,true,true
IONQ,hard_stop,2026-04-13T14:20:00.000Z,96.64,5,0.7,0.9,1.12,17.05,1794.4,8075,30,80.7,2,26.82,350,true,true
HUT,opposite_signal,2026-04-06T17:05:00.000Z,1.64,5,2.47,2.48,2.69,18.1,629.8,7810,200,80.7,2,25.73,1235,true,true
AAOI,expiration,2026-04-23T19:57:00.000Z,117.31,4,3.2,3.5,3.5,22.52,543.4,7608,1,79.9,2,23.7,1280,true,true
MSFT,opposite_signal,2026-04-14T18:15:00.000Z,-211.35,2,6.5,5.45,7.44,41.6,663.3,7230,150,81.6,3,12.64,1300,true,true
HOOD,opposite_signal,2026-04-14T18:00:00.000Z,3091.64,5,2.5,8.69,9.42,23.14,166.3,7225,1350,85.9,3,19.9,1250,true,true
ALAB,runner_trail_stop,2026-05-19T14:34:00.000Z,96.33,1,13.55,14.52,19.02,86.35,494.7,7183,1173,79.1,2,22.44,1355,true,true
TSM,opposite_signal,2026-04-21T19:35:00.000Z,158.65,2,5.15,5.95,5.95,39.65,566.4,6740,100,74.8,2,15.21,1030,true,true
TSM,opposite_signal,2026-04-20T18:35:00.000Z,-1.35,2,6,6,6.2,39.65,560.8,6730,105,72.3,2,11.13,1200,true,true
ARM,runner_trail_stop,2026-05-19T19:25:00.000Z,264.33,1,10.4,13.05,15.8,80,513,6695,175,89,3,31.65,1040,true,true
AMD,runner_trail_stop,2026-04-21T17:20:00.000Z,117.33,1,9.75,10.93,13,76.9,603.6,6597,125,89,3,25.91,975,true,true
MRVL,runner_trail_stop,2026-04-08T18:50:00.000Z,-8.36,5,2.15,2.14,2.65,14.65,584.6,6255,145,83.5,3,15.85,1075,true,true
RKLB,runner_trail_stop,2026-05-07T13:47:00.000Z,477.98,3,4.6,6.2,8,26,319.4,5940,1457,80.7,2,33.87,1380,true,true
ALAB,opposite_signal,2026-05-18T13:30:00.000Z,1309.33,1,13.99,27.09,30.36,86.35,218.8,5926,4314,86.7,3,21.21,1399,true,true
OKLO,runner_trail_stop,2026-04-14T19:39:00.000Z,145.31,4,3.63,4,4.8,18.8,370,5920,54,84.6,3,17.6,1452,true,true
CRWV,opposite_signal,2026-04-08T18:10:00.000Z,65.31,4,3.5,3.67,4.1,17.75,383.7,5632,84,81.4,3,12.36,1400,true,true
QCOM,opposite_signal,2026-05-06T18:50:00.000Z,4768.65,2,6,29.85,31.14,58,94.3,5630,1740,86.4,3,20.6,1200,true,true
AMD,runner_trail_stop,2026-04-08T13:59:00.000Z,1968.98,3,4.13,10.7,12.2,29.45,175.2,5625,1124,84.1,3,16.84,1239,true,true
ARM,opposite_signal,2026-04-21T19:35:00.000Z,75.33,1,7.7,8.46,8.5,64.5,662.4,5604,45,81.7,3,12.91,770,true,true
AMD,runner_trail_stop,2026-04-22T16:17:00.000Z,346.33,1,9.26,12.73,15.37,67.43,429.7,5470,122,89,3,29.07,926,true,true
